# emoji	group	subgroup	name	keywords
🧑🏽‍🔬	People & Body	person-role	scientist: medium skin tone	scientist: medium skin tone
🧑🏾‍🔬	People & Body	person-role	scientist: medium-dark skin tone	scientist: medium-dark skin tone
🧑🏿‍🔬	People & Body	person-role	scientist: dark skin tone	scientist: dark skin tone
👨‍🔬	People & Body	person-role	man scientist	man scientist,biologist,chemist,engineer,man,mathematician,physicist,scientist
👨🏻‍🔬	People & Body	person-role	man scientist: light skin tone	man scientist: light skin tone
👨🏼‍🔬	People & Body	person-role	man scientist: medium-light skin tone	man scientist: medium-light skin tone
👨🏽‍🔬	People & Body	person-role	man scientist: medium skin tone	man scientist: medium skin tone
👨🏾‍🔬	People & Body	person-role	man scientist: medium-dark skin tone	man scientist: medium-dark skin tone
👨🏿‍🔬	People & Body	person-role	man scientist: dark skin tone	man scientist: dark skin tone
👩‍🔬	People & Body	person-role	woman scientist	woman scientist,biologist,chemist,engineer,mathematician,physicist,scientist,woman
👩🏻‍🔬	People & Body	person-role	woman scientist: light skin tone	woman scientist: light skin tone
👩🏼‍🔬	People & Body	person-role	woman scientist: medium-light skin tone	woman scientist: medium-light skin tone
👩🏽‍🔬	People & Body	person-role	woman scientist: medium skin tone	woman scientist: medium skin tone
👩🏾‍🔬	People & Body	person-role	woman scientist: medium-dark skin tone	woman scientist: medium-dark skin tone
👩🏿‍🔬	People & Body	person-role	woman scientist: dark skin tone	woman scientist: dark skin tone
🧑‍💻	People & Body	person-role	technologist	technologist,coder,computer,developer,inventor,software
🧑🏻‍💻	People & Body	person-role	technologist: light skin tone	technologist: light skin tone
🧑🏼‍💻	People & Body	person-role	technologist: medium-light skin tone	technologist: medium-light skin tone
🧑🏽‍💻	People & Body	person-role	technologist: medium skin tone	technologist: medium skin tone
🧑🏾‍💻	People & Body	person-role	technologist: medium-dark skin tone	technologist: medium-dark skin tone
🧑🏿‍💻	People & Body	person-role	technologist: dark skin tone	technologist: dark skin tone
👨‍💻	People & Body	person-role	man technologist	man technologist,coder,computer,developer,inventor,man,software,technologist
👨🏻‍💻	People & Body	person-role	man technologist: light skin tone	man technologist: light skin tone
👨🏼‍💻	People & Body	person-role	man technologist: medium-light skin tone	man technologist: medium-light skin tone
👨🏽‍💻	People & Body	person-role	man technologist: medium skin tone	man technologist: medium skin tone
👨🏾‍💻	People & Body	person-role	man technologist: medium-dark skin tone	man technologist: medium-dark skin tone
👨🏿‍💻	People & Body	person-role	man technologist: dark skin tone	man technologist: dark skin tone
👩‍💻	People & Body	person-role	woman technologist	woman technologist,coder,computer,developer,inventor,software,technologist,woman
👩🏻‍💻	People & Body	person-role	woman technologist: light skin tone	woman technologist: light skin tone
👩🏼‍💻	People & Body	person-role	woman technologist: medium-light skin tone	woman technologist: medium-light skin tone
👩🏽‍💻	People & Body	person-role	woman technologist: medium skin tone	woman technologist: medium skin tone
👩🏾‍💻	People & Body	person-role	woman technologist: medium-dark skin tone	woman technologist: medium-dark skin tone
👩🏿‍💻	People & Body	person-role	woman technologist: dark skin tone	woman technologist: dark skin tone
🧑‍🎤	People & Body	person-role	singer	singer,actor,entertainer,rock,rockstar,star
🧑🏻‍🎤	People & Body	person-role	singer: light skin tone	singer: light skin tone
🧑🏼‍🎤	People & Body	person-role	singer: medium-light skin tone	singer: medium-light skin tone
🧑🏽‍🎤	People & Body	person-role	singer: medium skin tone	singer: medium skin tone
🧑🏾‍🎤	People & Body	person-role	singer: medium-dark skin tone	singer: medium-dark skin tone
🧑🏿‍🎤	People & Body	person-role	singer: dark skin tone	singer: dark skin tone
👨‍🎤	People & Body	person-role	man singer	man singer,actor,entertainer,man,rock,rockstar,singer,star
👨🏻‍🎤	People & Body	person-role	man singer: light skin tone	man singer: light skin tone
👨🏼‍🎤	People & Body	person-role	man singer: medium-light skin tone	man singer: medium-light skin tone
👨🏽‍🎤	People & Body	person-role	man singer: medium skin tone	man singer: medium skin tone
👨🏾‍🎤	People & Body	person-role	man singer: medium-dark skin tone	man singer: medium-dark skin tone
👨🏿‍🎤	People & Body	person-role	man singer: dark skin tone	man singer: dark skin tone
👩‍🎤	People & Body	person-role	woman singer	woman singer,actor,entertainer,rock,rockstar,singer,star,woman
👩🏻‍🎤	People & Body	person-role	woman singer: light skin tone	woman singer: light skin tone
👩🏼‍🎤	People & Body	person-role	woman singer: medium-light skin tone	woman singer: medium-light skin tone
👩🏽‍🎤	People & Body	person-role	woman singer: medium skin tone	woman singer: medium skin tone
👩🏾‍🎤	People & Body	person-role	woman singer: medium-dark skin tone	woman singer: medium-dark skin tone
👩🏿‍🎤	People & Body	person-role	woman singer: dark skin tone	woman singer: dark skin tone
🧑‍🎨	People & Body	person-role	artist	artist,palette
🧑🏻‍🎨	People & Body	person-role	artist: light skin tone	artist: light skin tone
🧑🏼‍🎨	People & Body	person-role	artist: medium-light skin tone	artist: medium-light skin tone
🧑🏽‍🎨	People & Body	person-role	artist: medium skin tone	artist: medium skin tone
🧑🏾‍🎨	People & Body	person-role	artist: medium-dark skin tone	artist: medium-dark skin tone
🧑🏿‍🎨	People & Body	person-role	artist: dark skin tone	artist: dark skin tone
👨‍🎨	People & Body	person-role	man artist	man artist,artist,man,palette
👨🏻‍🎨	People & Body	person-role	man artist: light skin tone	man artist: light skin tone
👨🏼‍🎨	People & Body	person-role	man artist: medium-light skin tone	man artist: medium-light skin tone
👨🏽‍🎨	People & Body	person-role	man artist: medium skin tone	man artist: medium skin tone
👨🏾‍🎨	People & Body	person-role	man artist: medium-dark skin tone	man artist: medium-dark skin tone
👨🏿‍🎨	People & Body	person-role	man artist: dark skin tone	man artist: dark skin tone
👩‍🎨	People & Body	person-role	woman artist	woman artist,artist,palette,woman
👩🏻‍🎨	People & Body	person-role	woman artist: light skin tone	woman artist: light skin tone
👩🏼‍🎨	People & Body	person-role	woman artist: medium-light skin tone	woman artist: medium-light skin tone
👩🏽‍🎨	People & Body	person-role	woman artist: medium skin tone	woman artist: medium skin tone
👩🏾‍🎨	People & Body	person-role	woman artist: medium-dark skin tone	woman artist: medium-dark skin tone
👩🏿‍🎨	People & Body	person-role	woman artist: dark skin tone	woman artist: dark skin tone
🧑‍✈️	People & Body	person-role	pilot	pilot
🧑🏻‍✈️	People & Body	person-role	pilot: light skin tone	pilot: light skin tone
🧑🏼‍✈️	People & Body	person-role	pilot: medium-light skin tone	pilot: medium-light skin tone
🧑🏽‍✈️	People & Body	person-role	pilot: medium skin tone	pilot: medium skin tone
🧑🏾‍✈️	People & Body	person-role	pilot: medium-dark skin tone	pilot: medium-dark skin tone
🧑🏿‍✈️	People & Body	person-role	pilot: dark skin tone	pilot: dark skin tone
👨‍✈️	People & Body	person-role	man pilot	man pilot
👨🏻‍✈️	People & Body	person-role	man pilot: light skin tone	man pilot: light skin tone
👨🏼‍✈️	People & Body	person-role	man pilot: medium-light skin tone	man pilot: medium-light skin tone
👨🏽‍✈️	People & Body	person-role	man pilot: medium skin tone	man pilot: medium skin tone
👨🏾‍✈️	People & Body	person-role	man pilot: medium-dark skin tone	man pilot: medium-dark skin tone
👨🏿‍✈️	People & Body	person-role	man pilot: dark skin tone	man pilot: dark skin tone
👩‍✈️	People & Body	person-role	woman pilot	woman pilot
👩🏻‍✈️	People & Body	person-role	woman pilot: light skin tone	woman pilot: light skin tone
👩🏼‍✈️	People & Body	person-role	woman pilot: medium-light skin tone	woman pilot: medium-light skin tone
👩🏽‍✈️	People & Body	person-role	woman pilot: medium skin tone	woman pilot: medium skin tone
👩🏾‍✈️	People & Body	person-role	woman pilot: medium-dark skin tone	woman pilot: medium-dark skin tone
👩🏿‍✈️	People & Body	person-role	woman pilot: dark skin tone	woman pilot: dark skin tone
🧑‍🚀	People & Body	person-role	astronaut	astronaut,rocket,space
🧑🏻‍🚀	People & Body	person-role	astronaut: light skin tone	astronaut: light skin tone
🧑🏼‍🚀	People & Body	person-role	astronaut: medium-light skin tone	astronaut: medium-light skin tone
🧑🏽‍🚀	People & Body	person-role	astronaut: medium skin tone	astronaut: medium skin tone
🧑🏾‍🚀	People & Body	person-role	astronaut: medium-dark skin tone	astronaut: medium-dark skin tone
🧑🏿‍🚀	People & Body	person-role	astronaut: dark skin tone	astronaut: dark skin tone
👨‍🚀	People & Body	person-role	man astronaut	man astronaut,astronaut,man,rocket,space
👨🏻‍🚀	People & Body	person-role	man astronaut: light skin tone	man astronaut: light skin tone
👨🏼‍🚀	People & Body	person-role	man astronaut: medium-light skin tone	man astronaut: medium-light skin tone
👨🏽‍🚀	People & Body	person-role	man astronaut: medium skin tone	man astronaut: medium skin tone
👨🏾‍🚀	People & Body	person-role	man astronaut: medium-dark skin tone	man astronaut: medium-dark skin tone
👨🏿‍🚀	People & Body	person-role	man astronaut: dark skin tone	man astronaut: dark skin tone
👩‍🚀	People & Body	person-role	woman astronaut	woman astronaut,astronaut,rocket,space,woman
👩🏻‍🚀	People & Body	person-role	woman astronaut: light skin tone	woman astronaut: light skin tone
👩🏼‍🚀	People & Body	person-role	woman astronaut: medium-light skin tone	woman astronaut: medium-light skin tone
👩🏽‍🚀	People & Body	person-role	woman astronaut: medium skin tone	woman astronaut: medium skin tone
👩🏾‍🚀	People & Body	person-role	woman astronaut: medium-dark skin tone	woman astronaut: medium-dark skin tone
👩🏿‍🚀	People & Body	person-role	woman astronaut: dark skin tone	woman astronaut: dark skin tone
🧑‍🚒	People & Body	person-role	firefighter	firefighter,fire,firetruck
🧑🏻‍🚒	People & Body	person-role	firefighter: light skin tone	firefighter: light skin tone
🧑🏼‍🚒	People & Body	person-role	firefighter: medium-light skin tone	firefighter: medium-light skin tone
🧑🏽‍🚒	People & Body	person-role	firefighter: medium skin tone	firefighter: medium skin tone
🧑🏾‍🚒	People & Body	person-role	firefighter: medium-dark skin tone	firefighter: medium-dark skin tone
🧑🏿‍🚒	People & Body	person-role	firefighter: dark skin tone	firefighter: dark skin tone
👨‍🚒	People & Body	person-role	man firefighter	man firefighter,fire,firefighter,firetruck,man
👨🏻‍🚒	People & Body	person-role	man firefighter: light skin tone	man firefighter: light skin tone
👨🏼‍🚒	People & Body	person-role	man firefighter: medium-light skin tone	man firefighter: medium-light skin tone
👨🏽‍🚒	People & Body	person-role	man firefighter: medium skin tone	man firefighter: medium skin tone
👨🏾‍🚒	People & Body	person-role	man firefighter: medium-dark skin tone	man firefighter: medium-dark skin tone
👨🏿‍🚒	People & Body	person-role	man firefighter: dark skin tone	man firefighter: dark skin tone
👩‍🚒	People & Body	person-role	woman firefighter	woman firefighter,fire,firefighter,firetruck,woman
👩🏻‍🚒	People & Body	person-role	woman firefighter: light skin tone	woman firefighter: light skin tone
👩🏼‍🚒	People & Body	person-role	woman firefighter: medium-light skin tone	woman firefighter: medium-light skin tone
👩🏽‍🚒	People & Body	person-role	woman firefighter: medium skin tone	woman firefighter: medium skin tone
👩🏾‍🚒	People & Body	person-role	woman firefighter: medium-dark skin tone	woman firefighter: medium-dark skin tone
👩🏿‍🚒	People & Body	person-role	woman firefighter: dark skin tone	woman firefighter: dark skin tone
👮	People & Body	person-role	police officer	police officer,apprehend,arrest,citation,cop,law,officer,over,police,pulled,undercover
👮🏻	People & Body	person-role	police officer: light skin tone	police officer: light skin tone
👮🏼	People & Body	person-role	police officer: medium-light skin tone	police officer: medium-light skin tone
👮🏽	People & Body	person-role	police officer: medium skin tone	police officer: medium skin tone
👮🏾	People & Body	person-role	police officer: medium-dark skin tone	police officer: medium-dark skin tone
👮🏿	People & Body	person-role	police officer: dark skin tone	police officer: dark skin tone
👮‍♂️	People & Body	person-role	man police officer	man police officer
👮🏻‍♂️	People & Body	person-role	man police officer: light skin tone	man police officer: light skin tone
👮🏼‍♂️	People & Body	person-role	man police officer: medium-light skin tone	man police officer: medium-light skin tone
👮🏽‍♂️	People & Body	person-role	man police officer: medium skin tone	man police officer: medium skin tone
👮🏾‍♂️	People & Body	person-role	man police officer: medium-dark skin tone	man police officer: medium-dark skin tone
👮🏿‍♂️	People & Body	person-role	man police officer: dark skin tone	man police officer: dark skin tone
👮‍♀️	People & Body	person-role	woman police officer	woman police officer
👮🏻‍♀️	People & Body	person-role	woman police officer: light skin tone	woman police officer: light skin tone
👮🏼‍♀️	People & Body	person-role	woman police officer: medium-light skin tone	woman police officer: medium-light skin tone
👮🏽‍♀️	People & Body	person-role	woman police officer: medium skin tone	woman police officer: medium skin tone
👮🏾‍♀️	People & Body	person-role	woman police officer: medium-dark skin tone	woman police officer: medium-dark skin tone
👮🏿‍♀️	People & Body	person-role	woman police officer: dark skin tone	woman police officer: dark skin tone
🕵️	People & Body	person-role	detective	detective
🕵🏻	People & Body	person-role	detective: light skin tone	detective: light skin tone
🕵🏼	People & Body	person-role	detective: medium-light skin tone	detective: medium-light skin tone
🕵🏽	People & Body	person-role	detective: medium skin tone	detective: medium skin tone
🕵🏾	People & Body	person-role	detective: medium-dark skin tone	detective: medium-dark skin tone
🕵🏿	People & Body	person-role	detective: dark skin tone	detective: dark skin tone
🕵️‍♂️	People & Body	person-role	man detective	man detective
🕵🏻‍♂️	People & Body	person-role	man detective: light skin tone	man detective: light skin tone
🕵🏼‍♂️	People & Body	person-role	man detective: medium-light skin tone	man detective: medium-light skin tone
🕵🏽‍♂️	People & Body	person-role	man detective: medium skin tone	man detective: medium skin tone
🕵🏾‍♂️	People & Body	person-role	man detective: medium-dark skin tone	man detective: medium-dark skin tone
🕵🏿‍♂️	People & Body	person-role	man detective: dark skin tone	man detective: dark skin tone
🕵️‍♀️	People & Body	person-role	woman detective	woman detective
🕵🏻‍♀️	People & Body	person-role	woman detective: light skin tone	woman detective: light skin tone
🕵🏼‍♀️	People & Body	person-role	woman detective: medium-light skin tone	woman detective: medium-light skin tone
🕵🏽‍♀️	People & Body	person-role	woman detective: medium skin tone	woman detective: medium skin tone
🕵🏾‍♀️	People & Body	person-role	woman detective: medium-dark skin tone	woman detective: medium-dark skin tone
🕵🏿‍♀️	People & Body	person-role	woman detective: dark skin tone	woman detective: dark skin tone
💂	People & Body	person-role	guard	guard,buckingham,helmet,london,palace
💂🏻	People & Body	person-role	guard: light skin tone	guard: light skin tone
💂🏼	People & Body	person-role	guard: medium-light skin tone	guard: medium-light skin tone
💂🏽	People & Body	person-role	guard: medium skin tone	guard: medium skin tone
💂🏾	People & Body	person-role	guard: medium-dark skin tone	guard: medium-dark skin tone
💂🏿	People & Body	person-role	guard: dark skin tone	guard: dark skin tone
💂‍♂️	People & Body	person-role	man guard	man guard
💂🏻‍♂️	People & Body	person-role	man guard: light skin tone	man guard: light skin tone
💂🏼‍♂️	People & Body	person-role	man guard: medium-light skin tone	man guard: medium-light skin tone
💂🏽‍♂️	People & Body	person-role	man guard: medium skin tone	man guard: medium skin tone
💂🏾‍♂️	People & Body	person-role	man guard: medium-dark skin tone	man guard: medium-dark skin tone
💂🏿‍♂️	People & Body	person-role	man guard: dark skin tone	man guard: dark skin tone
💂‍♀️	People & Body	person-role	woman guard	woman guard
💂🏻‍♀️	People & Body	person-role	woman guard: light skin tone	woman guard: light skin tone
💂🏼‍♀️	People & Body	person-role	woman guard: medium-light skin tone	woman guard: medium-light skin tone
💂🏽‍♀️	People & Body	person-role	woman guard: medium skin tone	woman guard: medium skin tone
💂🏾‍♀️	People & Body	person-role	woman guard: medium-dark skin tone	woman guard: medium-dark skin tone
💂🏿‍♀️	People & Body	person-role	woman guard: dark skin tone	woman guard: dark skin tone
🥷	People & Body	person-role	ninja	ninja,assassin,fight,fighter,hidden,person,secret,skills,sly,soldier,stealth,war
🥷🏻	People & Body	person-role	ninja: light skin tone	ninja: light skin tone
🥷🏼	People & Body	person-role	ninja: medium-light skin tone	ninja: medium-light skin tone
🥷🏽	People & Body	person-role	ninja: medium skin tone	ninja: medium skin tone
🥷🏾	People & Body	person-role	ninja: medium-dark skin tone	ninja: medium-dark skin tone
🥷🏿	People & Body	person-role	ninja: dark skin tone	ninja: dark skin tone
👷	People & Body	person-role	construction worker	construction worker,build,construction,fix,hardhat,hat,man,person,rebuild,remodel,repair,work,worker
👷🏻	People & Body	person-role	construction worker: light skin tone	construction worker: light skin tone
👷🏼	People & Body	person-role	construction worker: medium-light skin tone	construction worker: medium-light skin tone
👷🏽	People & Body	person-role	construction worker: medium skin tone	construction worker: medium skin tone
👷🏾	People & Body	person-role	construction worker: medium-dark skin tone	construction worker: medium-dark skin tone
👷🏿	People & Body	person-role	construction worker: dark skin tone	construction worker: dark skin tone
👷‍♂️	People & Body	person-role	man construction worker	man construction worker
👷🏻‍♂️	People & Body	person-role	man construction worker: light skin tone	man construction worker: light skin tone
👷🏼‍♂️	People & Body	person-role	man construction worker: medium-light skin tone	man construction worker: medium-light skin tone
👷🏽‍♂️	People & Body	person-role	man construction worker: medium skin tone	man construction worker: medium skin tone
👷🏾‍♂️	People & Body	person-role	man construction worker: medium-dark skin tone	man construction worker: medium-dark skin tone
👷🏿‍♂️	People & Body	person-role	man construction worker: dark skin tone	man construction worker: dark skin tone
👷‍♀️	People & Body	person-role	woman construction worker	woman construction worker
👷🏻‍♀️	People & Body	person-role	woman construction worker: light skin tone	woman construction worker: light skin tone
👷🏼‍♀️	People & Body	person-role	woman construction worker: medium-light skin tone	woman construction worker: medium-light skin tone
👷🏽‍♀️	People & Body	person-role	woman construction worker: medium skin tone	woman construction worker: medium skin tone
👷🏾‍♀️	People & Body	person-role	woman construction worker: medium-dark skin tone	woman construction worker: medium-dark skin tone
👷🏿‍♀️	People & Body	person-role	woman construction worker: dark skin tone	woman construction worker: dark skin tone
🫅	People & Body	person-role	person with crown	person with crown,crown,monarch,noble,person,regal,royal,royalty
🫅🏻	People & Body	person-role	person with crown: light skin tone	person with crown: light skin tone
🫅🏼	People & Body	person-role	person with crown: medium-light skin tone	person with crown: medium-light skin tone
🫅🏽	People & Body	person-role	person with crown: medium skin tone	person with crown: medium skin tone
🫅🏾	People & Body	person-role	person with crown: medium-dark skin tone	person with crown: medium-dark skin tone
🫅🏿	People & Body	person-role	person with crown: dark skin tone	person with crown: dark skin tone
🤴	People & Body	person-role	prince	prince,crown,fairy,fairytale,fantasy,king,royal,royalty,tale
🤴🏻	People & Body	person-role	prince: light skin tone	prince: light skin tone
🤴🏼	People & Body	person-role	prince: medium-light skin tone	prince: medium-light skin tone
🤴🏽	People & Body	person-role	prince: medium skin tone	prince: medium skin tone
🤴🏾	People & Body	person-role	prince: medium-dark skin tone	prince: medium-dark skin tone
🤴🏿	People & Body	person-role	prince: dark skin tone	prince: dark skin tone
👸	People & Body	person-role	princess	princess,crown,fairy,fairytale,fantasy,queen,royal,royalty,tale
👸🏻	People & Body	person-role	princess: light skin tone	princess: light skin tone
👸🏼	People & Body	person-role	princess: medium-light skin tone	princess: medium-light skin tone
👸🏽	People & Body	person-role	princess: medium skin tone	princess: medium skin tone
👸🏾	People & Body	person-role	princess: medium-dark skin tone	princess: medium-dark skin tone
👸🏿	People & Body	person-role	princess: dark skin tone	princess: dark skin tone
👳	People & Body	person-role	person wearing turban	person wearing turban,person,turban,wearing
👳🏻	People & Body	person-role	person wearing turban: light skin tone	person wearing turban: light skin tone
👳🏼	People & Body	person-role	person wearing turban: medium-light skin tone	person wearing turban: medium-light skin tone
👳🏽	People & Body	person-role	person wearing turban: medium skin tone	person wearing turban: medium skin tone
👳🏾	People & Body	person-role	person wearing turban: medium-dark skin tone	person wearing turban: medium-dark skin tone
👳🏿	People & Body	person-role	person wearing turban: dark skin tone	person wearing turban: dark skin tone
👳‍♂️	People & Body	person-role	man wearing turban	man wearing turban
👳🏻‍♂️	People & Body	person-role	man wearing turban: light skin tone	man wearing turban: light skin tone
👳🏼‍♂️	People & Body	person-role	man wearing turban: medium-light skin tone	man wearing turban: medium-light skin tone
👳🏽‍♂️	People & Body	person-role	man wearing turban: medium skin tone	man wearing turban: medium skin tone
👳🏾‍♂️	People & Body	person-role	man wearing turban: medium-dark skin tone	man wearing turban: medium-dark skin tone
👳🏿‍♂️	People & Body	person-role	man wearing turban: dark skin tone	man wearing turban: dark skin tone
👳‍♀️	People & Body	person-role	woman wearing turban	woman wearing turban
👳🏻‍♀️	People & Body	person-role	woman wearing turban: light skin tone	woman wearing turban: light skin tone
👳🏼‍♀️	People & Body	person-role	woman wearing turban: medium-light skin tone	woman wearing turban: medium-light skin tone
👳🏽‍♀️	People & Body	person-role	woman wearing turban: medium skin tone	woman wearing turban: medium skin tone
👳🏾‍♀️	People & Body	person-role	woman wearing turban: medium-dark skin tone	woman wearing turban: medium-dark skin tone
👳🏿‍♀️	People & Body	person-role	woman wearing turban: dark skin tone	woman wearing turban: dark skin tone
👲	People & Body	person-role	person with skullcap	person with skullcap,cap,chinese,gua,guapi,hat,mao,person,pi,skullcap
👲🏻	People & Body	person-role	person with skullcap: light skin tone	person with skullcap: light skin tone
👲🏼	People & Body	person-role	person with skullcap: medium-light skin tone	person with skullcap: medium-light skin tone
👲🏽	People & Body	person-role	person with skullcap: medium skin tone	person with skullcap: medium skin tone
👲🏾	People & Body	person-role	person with skullcap: medium-dark skin tone	person with skullcap: medium-dark skin tone
👲🏿	People & Body	person-role	person with skullcap: dark skin tone	person with skullcap: dark skin tone
🧕	People & Body	person-role	woman with headscarf	woman with headscarf,bandana,head,headscarf,hijab,kerchief,mantilla,tichel,woman
🧕🏻	People & Body	person-role	woman with headscarf: light skin tone	woman with headscarf: light skin tone
🧕🏼	People & Body	person-role	woman with headscarf: medium-light skin tone	woman with headscarf: medium-light skin tone
🧕🏽	People & Body	person-role	woman with headscarf: medium skin tone	woman with headscarf: medium skin tone
🧕🏾	People & Body	person-role	woman with headscarf: medium-dark skin tone	woman with headscarf: medium-dark skin tone
🧕🏿	People & Body	person-role	woman with headscarf: dark skin tone	woman with headscarf: dark skin tone
🤵	People & Body	person-role	person in tuxedo	person in tuxedo,formal,person,tuxedo,wedding
🤵🏻	People & Body	person-role	person in tuxedo: light skin tone	person in tuxedo: light skin tone
🤵🏼	People & Body	person-role	person in tuxedo: medium-light skin tone	person in tuxedo: medium-light skin tone
🤵🏽	People & Body	person-role	person in tuxedo: medium skin tone	person in tuxedo: medium skin tone
🤵🏾	People & Body	person-role	person in tuxedo: medium-dark skin tone	person in tuxedo: medium-dark skin tone
🤵🏿	People & Body	person-role	person in tuxedo: dark skin tone	person in tuxedo: dark skin tone
🤵‍♂️	People & Body	person-role	man in tuxedo	man in tuxedo
🤵🏻‍♂️	People & Body	person-role	man in tuxedo: light skin tone	man in tuxedo: light skin tone
🤵🏼‍♂️	People & Body	person-role	man in tuxedo: medium-light skin tone	man in tuxedo: medium-light skin tone
🤵🏽‍♂️	People & Body	person-role	man in tuxedo: medium skin tone	man in tuxedo: medium skin tone
🤵🏾‍♂️	People & Body	person-role	man in tuxedo: medium-dark skin tone	man in tuxedo: medium-dark skin tone
🤵🏿‍♂️	People & Body	person-role	man in tuxedo: dark skin tone	man in tuxedo: dark skin tone
🤵‍♀️	People & Body	person-role	woman in tuxedo	woman in tuxedo
🤵🏻‍♀️	People & Body	person-role	woman in tuxedo: light skin tone	woman in tuxedo: light skin tone
🤵🏼‍♀️	People & Body	person-role	woman in tuxedo: medium-light skin tone	woman in tuxedo: medium-light skin tone
🤵🏽‍♀️	People & Body	person-role	woman in tuxedo: medium skin tone	woman in tuxedo: medium skin tone
🤵🏾‍♀️	People & Body	person-role	woman in tuxedo: medium-dark skin tone	woman in tuxedo: medium-dark skin tone
🤵🏿‍♀️	People & Body	person-role	woman in tuxedo: dark skin tone	woman in tuxedo: dark skin tone
👰	People & Body	person-role	person with veil	person with veil,person,veil,wedding
👰🏻	People & Body	person-role	person with veil: light skin tone	person with veil: light skin tone
👰🏼	People & Body	person-role	person with veil: medium-light skin tone	person with veil: medium-light skin tone
👰🏽	People & Body	person-role	person with veil: medium skin tone	person with veil: medium skin tone
👰🏾	People & Body	person-role	person with veil: medium-dark skin tone	person with veil: medium-dark skin tone
👰🏿	People & Body	person-role	person with veil: dark skin tone	person with veil: dark skin tone
👰‍♂️	People & Body	person-role	man with veil	man with veil
👰🏻‍♂️	People & Body	person-role	man with veil: light skin tone	man with veil: light skin tone
👰🏼‍♂️	People & Body	person-role	man with veil: medium-light skin tone	man with veil: medium-light skin tone
👰🏽‍♂️	People & Body	person-role	man with veil: medium skin tone	man with veil: medium skin tone
👰🏾‍♂️	People & Body	person-role	man with veil: medium-dark skin tone	man with veil: medium-dark skin tone
👰🏿‍♂️	People & Body	person-role	man with veil: dark skin tone	man with veil: dark skin tone
👰‍♀️	People & Body	person-role	woman with veil	woman with veil
👰🏻‍♀️	People & Body	person-role	woman with veil: light skin tone	woman with veil: light skin tone
👰🏼‍♀️	People & Body	person-role	woman with veil: medium-light skin tone	woman with veil: medium-light skin tone
👰🏽‍♀️	People & Body	person-role	woman with veil: medium skin tone	woman with veil: medium skin tone
👰🏾‍♀️	People & Body	person-role	woman with veil: medium-dark skin tone	woman with veil: medium-dark skin tone
👰🏿‍♀️	People & Body	person-role	woman with veil: dark skin tone	woman with veil: dark skin tone
🤰	People & Body	person-role	pregnant woman	pregnant woman,pregnant,woman
🤰🏻	People & Body	person-role	pregnant woman: light skin tone	pregnant woman: light skin tone
🤰🏼	People & Body	person-role	pregnant woman: medium-light skin tone	pregnant woman: medium-light skin tone
🤰🏽	People & Body	person-role	pregnant woman: medium skin tone	pregnant woman: medium skin tone
🤰🏾	People & Body	person-role	pregnant woman: medium-dark skin tone	pregnant woman: medium-dark skin tone
🤰🏿	People & Body	person-role	pregnant woman: dark skin tone	pregnant woman: dark skin tone
🫃	People & Body	person-role	pregnant man	pregnant man,belly,bloated,full,man,overeat,pregnant
🫃🏻	People & Body	person-role	pregnant man: light skin tone	pregnant man: light skin tone
🫃🏼	People & Body	person-role	pregnant man: medium-light skin tone	pregnant man: medium-light skin tone
🫃🏽	People & Body	person-role	pregnant man: medium skin tone	pregnant man: medium skin tone
🫃🏾	People & Body	person-role	pregnant man: medium-dark skin tone	pregnant man: medium-dark skin tone
🫃🏿	People & Body	person-role	pregnant man: dark skin tone	pregnant man: dark skin tone
🫄	People & Body	person-role	pregnant person	pregnant person,belly,bloated,full,overeat,person,pregnant,stuffed
🫄🏻	People & Body	person-role	pregnant person: light skin tone	pregnant person: light skin tone
🫄🏼	People & Body	person-role	pregnant person: medium-light skin tone	pregnant person: medium-light skin tone
🫄🏽	People & Body	person-role	pregnant person: medium skin tone	pregnant person: medium skin tone
🫄🏾	People & Body	person-role	pregnant person: medium-dark skin tone	pregnant person: medium-dark skin tone
🫄🏿	People & Body	person-role	pregnant person: dark skin tone	pregnant person: dark skin tone
🤱	People & Body	person-role	breast-feeding	breast-feeding,baby,breast,feeding,mom,mother,nursing,woman
🤱🏻	People & Body	person-role	breast-feeding: light skin tone	breast-feeding: light skin tone
🤱🏼	People & Body	person-role	breast-feeding: medium-light skin tone	breast-feeding: medium-light skin tone
🤱🏽	People & Body	person-role	breast-feeding: medium skin tone	breast-feeding: medium skin tone
🤱🏾	People & Body	person-role	breast-feeding: medium-dark skin tone	breast-feeding: medium-dark skin tone
🤱🏿	People & Body	person-role	breast-feeding: dark skin tone	breast-feeding: dark skin tone
👩‍🍼	People & Body	person-role	woman feeding baby	woman feeding baby,baby,feed,feeding,mom,mother,nanny,newborn,nursing,woman
👩🏻‍🍼	People & Body	person-role	woman feeding baby: light skin tone	woman feeding baby: light skin tone
👩🏼‍🍼	People & Body	person-role	woman feeding baby: medium-light skin tone	woman feeding baby: medium-light skin tone
👩🏽‍🍼	People & Body	person-role	woman feeding baby: medium skin tone	woman feeding baby: medium skin tone
👩🏾‍🍼	People & Body	person-role	woman feeding baby: medium-dark skin tone	woman feeding baby: medium-dark skin tone
👩🏿‍🍼	People & Body	person-role	woman feeding baby: dark skin tone	woman feeding baby: dark skin tone
